,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts,strategy_jdg
155,2017/10/09,15:06:43,321,31710061,2,2,4,5,CHECK,0,0,1,2,3,1507529187,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,45,r_s
166,2017/10/09,15:07:02,321,31710061,2,2,5,9,CHECK,0,0,1,2,3,1507529204,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2_5,n,45,n_s
177,2017/10/09,15:07:55,132,31710061,2,3,1,9,CHECK,0,0,2,3,1,1507529225,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_1,n,45,n_s
186,2017/10/09,15:08:25,312,31710061,2,3,2,7,CHECK,0,0,2,1,3,1507529276,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_2,n,45,n_s
195,2017/10/09,15:08:45,132,31710061,2,3,3,7,CHECK,0,0,2,3,1,1507529307,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_3,n,45,n_s
200,2017/10/09,15:08:57,312,31710061,2,3,4,3,CHECK,0,0,2,1,3,1507529326,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,2_3_4,s,45,s_s
213,2017/10/09,15:09:19,152,31710061,2,3,5,11,CHECK,0,0,2,5,1,1507529338,1,f,0,0,1,1,1,3,1,,,,,,,,,,,2_3_5,n,45,n_f
244,2017/10/16,14:47:43,321,31710061,3,1,1,3,CHECK,0,0,1,2,3,1508132855,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_1,F*,45,F*_s
251,2017/10/16,14:47:59,321,31710061,3,1,2,5,CHECK,0,0,1,2,3,1508132864,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_2,F*,45,F*_s
256,2017/10/16,14:48:12,321,31710061,3,1,3,3,CHECK,0,0,1,2,3,1508132880,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_3,F*,45,F*_s
263,2017/10/16,14:48:37,321,31710061,3,1,4,5,CHECK,0,0,1,2,3,1508132893,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_4,F*,45,F*_s
270,2017/10/16,14:48:53,321,31710061,3,1,5,5,CHECK,0,0,1,2,3,1508132917,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1_5,n,45,n_s
279,2017/10/16,14:49:30,321,31710061,3,2,1,7,CHECK,0,0,1,2,3,1508132944,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_1,n,45,n_s
284,2017/10/16,14:49:44,321,31710061,3,2,2,3,CHECK,0,0,1,2,3,1508132971,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_2,F*,45,F*_s
295,2017/10/16,14:50:12,321,31710061,3,2,3,9,CHECK,0,0,1,2,3,1508132985,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2_3,n,45,n_s
